gene_symbol,Ifi44
parameter_name,Neutrophil cell count
analysis_id,q62970r2rdje51c
pvalue,0.1938092
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:2443016
