analysis_id,i8fa024z29sd9l0
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
gene_symbol,Bmi1
pvalue,0.8001427
parameter_name,Hemorrhage
mouse_strain,C57BL
