gene_symbol,Fgb
parameter_id,MGP_IMM_074_001
analysis_id,155uct00v913a6d
gene_accession_id,MGI:99501
mouse_strain,C57BL
pvalue,0.5963493
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,E15.5
