analysis_id,y7muwo3369lmcek
gene_symbol,Sdcbp2
parameter_id,IMPC_XRY_067_001
parameter_name,Caudal processes
gene_accession_id,MGI:2385156
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1239668
