parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8459658
parameter_name,Liver weight
analysis_id,1fan04te85w6n84
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
