parameter_name,Hemoglobin
analysis_id,lv6s19j169dsb79
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.8213456
mouse_strain,C57BL
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Middle aged adult
