parameter_name,Phosphorus
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,fe8521zak813p5c
gene_symbol,Nipal3
parameter_id,HMGULA_CBC_010_001
pvalue,0.8286822
gene_accession_id,MGI:1921802
