analysis_id,syz7w8hozs108w7
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Mapkap1
parameter_id,MGP_IMM_048_001
pvalue,0.455944
parameter_name,Follicular B cells - % of B2 cells
gene_accession_id,MGI:2444554
