analysis_id,557pfuusv8j9406
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_name,Eye
pvalue,0.3715699
parameter_id,M-G-P_014_001_001
