analysis_id,a365lf2xd21hq0u
parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.8670174
gene_accession_id,MGI:1924054
parameter_id,IMPC_OFD_013_001
gene_symbol,Kdm4c
mouse_life_stage,Early adult
