analysis_id,54695iu215r05wy
parameter_name,Follicular B cells - % of B2 cells
pvalue,0.07633686
gene_accession_id,MGI:1934811
mouse_strain,C57BL
parameter_id,MGP_IMM_048_001
mouse_life_stage,Late adult
gene_symbol,Nucks1
