analysis_id,8re44m825536a30
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.4265806
gene_accession_id,MGI:1923959
parameter_id,IMPC_ABR_012_001
gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,129SV
