analysis_id,mmiq6ga8s2m0y67
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
parameter_id,ESLIM_016_001_002
pvalue,0.397179
gene_symbol,Snrpb2
parameter_name,Red blood cell count
mouse_strain,C57BL
