gene_symbol,Mgst2
pvalue,0.5408873
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
analysis_id,5880323arly9135
