analysis_id,kjj551q0g31pa51
gene_symbol,Dcaf12
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_002
pvalue,0.9131236
gene_accession_id,MGI:1916220
mouse_strain,C57BL
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
