gene_symbol,Frmpd1
parameter_name,Resting Treg cells - % of CD45+
analysis_id,55wdz63nln0p3gk
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.5742818
mouse_life_stage,Early adult
parameter_id,MGP_IMM_078_001
