parameter_name,Monocyte percentage
mouse_strain,129SV
pvalue,0.8243683
gene_accession_id,MGI:1921802
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
gene_symbol,Nipal3
analysis_id,q06vh11day9e1o7
