gene_symbol,Mapkap1
parameter_name,Basophil differential count
analysis_id,1o365a8v600uo2h
parameter_id,IMPC_HEM_038_001
pvalue,0.9757992
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
