gene_symbol,Clvs1
parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
analysis_id,4mz8z76qz9203gr
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
mouse_strain,C57BL
pvalue,0.2456444
