analysis_id,dwp0n580ib49r07
gene_accession_id,MGI:1888742
pvalue,0.8502194
mouse_life_stage,Early adult
gene_symbol,Extl1
parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
