gene_symbol,Sass6
pvalue,0.6449712
parameter_name,Monocytes
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:1920026
mouse_life_stage,E12.5
analysis_id,535c388g6791p3s
mouse_strain,C57BL
