analysis_id,0z18amcm2206962
parameter_id,MGP_CSD_030_001
pvalue,0.5182647
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
parameter_name,Limb coat/hair presence
