analysis_id,402643943t9w16b
mouse_strain,C57BL
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.4206033
gene_symbol,Cisd2
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_id,IMPC_IMM_032_001
