gene_symbol,Ilkap
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:1914694
parameter_name,Resting NK cells - % of NK cells
pvalue,0.05988351
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,06sx05zvdw74s81
