parameter_name,B cell number
gene_symbol,Ahcy
pvalue,0.6349234
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
parameter_id,MGP_PBI_034_001
analysis_id,az637378b7l41y8
mouse_strain,C57BL
