analysis_id,rlctm43dgbj26q7
pvalue,0.5761926
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:2684980
mouse_strain,C57BL
parameter_id,IMPC_CSD_008_001
mouse_life_stage,Early adult
gene_symbol,Mms22l
