analysis_id,3ka1e7t2n7220b1
gene_symbol,Slc30a4
pvalue,0.9853391
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
parameter_name,Percent time in dark
mouse_strain,C57BL
parameter_id,JAX_LDT_008_001
