analysis_id,l4l84b2s5wo8x43
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.7998641
parameter_id,IMPC_HEM_039_001
gene_symbol,Nanp
gene_accession_id,MGI:1914561
