gene_symbol,Tox
parameter_name,Heart looping
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
analysis_id,a50ychy48f8dvj8
pvalue,0.7016658
mouse_strain,C57BL
parameter_id,IMPC_GEL_057_001
