parameter_name,center - distance
analysis_id,9i9g0hye2x13zt2
mouse_strain,C57BL
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
pvalue,0.8008096
gene_symbol,Usp37
parameter_id,M-G-P_007_001_010
