gene_symbol,F2
parameter_name,Coat - color pattern - back
analysis_id,82d5ke214g67tba
parameter_id,IMPC_CSD_008_001
gene_accession_id,MGI:88380
pvalue,0.5643221
mouse_life_stage,Early adult
mouse_strain,C57BL
