parameter_id,IMPC_XRY_066_001
analysis_id,t7v278x8u687d71
gene_accession_id,MGI:1276578
pvalue,0.6536831
gene_symbol,Gfi1b
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Sacral processes
