gene_symbol,Trp53i11
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,x9j7p11wcvza6y2
gene_accession_id,MGI:2670995
pvalue,0.7591432
parameter_name,Joints
