analysis_id,113dq43u5d3o09w
mouse_strain,C57BL
parameter_name,Lower teeth appearance
gene_accession_id,MGI:3046938
pvalue,0.5922707
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
gene_symbol,Hrnr
