analysis_id,335o90d88lf1ha4
mouse_strain,C57BL
pvalue,0.6366401
mouse_life_stage,Early adult
gene_symbol,Rab22a
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:105072
parameter_name,PP1 + pulse startle magnitude
