analysis_id,v1304yx04ucxt18
parameter_id,IMPC_ABR_012_001
pvalue,0.06461228
gene_symbol,Toporsl
mouse_strain,C57BL
gene_accession_id,MGI:1915524
parameter_name,30kHz-evoked ABR Threshold
mouse_life_stage,Early adult
