parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:2135738
gene_symbol,Abo
mouse_strain,C57BL
parameter_name,Tibia
analysis_id,h688b6x42126206
mouse_life_stage,Early adult
pvalue,0.5248895
