analysis_id,cjbw8ko3kkr4tul
gene_accession_id,MGI:2385884
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
pvalue,0.4543119
gene_symbol,Ddx27
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
