analysis_id,u170zbij37xv078
gene_accession_id,MGI:1921442
mouse_strain,C57BL
pvalue,0.1577426
gene_symbol,Arpc5l
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Early adult
parameter_name,Activity (body position)
