gene_symbol,Ninl
pvalue,0.3050989
parameter_name,Fat/Body weight
mouse_strain,129SV
parameter_id,JAXLA_DXA_009_001
analysis_id,953oe60b5fki006
gene_accession_id,MGI:1925427
mouse_life_stage,Early adult
