parameter_name,White blood cell-count
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_001
gene_symbol,Cpa3
mouse_strain,C57BL
gene_accession_id,MGI:88479
analysis_id,d4c11187920g7y6
pvalue,0.124834
