parameter_name,Shape of ribcage
gene_symbol,Npbwr1
pvalue,0.427705
analysis_id,991x2lvx70f58dg
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
