parameter_id,JAXLA_HBD_001_001
gene_symbol,Cds2
mouse_strain,C57BL
analysis_id,c183r668ks27z3e
gene_accession_id,MGI:1332236
parameter_name,Total holepokes
mouse_life_stage,Early adult
pvalue,0.120091
