gene_symbol,Maco1
pvalue,0.4554041
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
analysis_id,346z2h6d81p3f3x
gene_accession_id,MGI:1913396
parameter_name,Skull shape
mouse_life_stage,Early adult
