analysis_id,p82k9r6bt0qn323
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1339969
parameter_id,MGP_IMM_070_001
pvalue,0.2310309
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Gja10
