analysis_id,0s1lov47x59r848
pvalue,0.9528739
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Retina (combined)
gene_accession_id,MGI:2670995
parameter_id,IMPC_EYE_092_001
gene_symbol,Trp53i11
