parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
analysis_id,2p2rpb9oj944s91
pvalue,0.4184998
gene_accession_id,MGI:109356
