gene_symbol,Tbl1xr1
pvalue,0.6456075
mouse_strain,C57BL
analysis_id,266qt8p78dz0sv1
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
