analysis_id,3w11ype02zqq108
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
parameter_id,IMPC_IMM_005_002
gene_symbol,Abo
pvalue,0.9872536
