gene_symbol,Rab3gap2
parameter_id,IMPC_CSD_011_001
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:1916043
pvalue,0.5532926
analysis_id,p5l3bq69s6s4425
mouse_strain,C57BL
