parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
gene_symbol,Kifap3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
pvalue,0.1487008
analysis_id,8keog3140vz393y
