analysis_id,120d966pi7y0f3s
parameter_name,Neutrophils
mouse_life_stage,E18.5
pvalue,0.8989999
gene_symbol,Zyg11b
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,IMPC_IMM_050_001
