gene_symbol,Dnajc5b
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
analysis_id,7oo0u7gkii80v8p
pvalue,0.6375536
parameter_name,Center average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
