mouse_strain,C57BL
pvalue,0.9793951
gene_accession_id,MGI:1913396
analysis_id,11140f8kb1wuhf7
parameter_name,RR
gene_symbol,Maco1
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
