parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Secisbp2l
pvalue,0.6664462
gene_accession_id,MGI:1917604
analysis_id,374hjoqob4vs4u8
mouse_life_stage,Late adult
