parameter_name,Eosinophils
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7570438
analysis_id,c84t75jl7462s2d
parameter_id,IMPC_IMM_052_001
