analysis_id,92q6r59vjx3nyqf
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slc45a3
pvalue,0.7049518
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1922082
