gene_symbol,Nr0b2
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:1346344
mouse_strain,B6J
pvalue,0.5270745
parameter_name,Periphery resting time
analysis_id,q5393eg0gou25m5
