gene_symbol,Il1r1
mouse_life_stage,Early adult
analysis_id,2z1wi57404075j6
mouse_strain,C57BL
pvalue,0.2797111
gene_accession_id,MGI:96545
parameter_name,Number of rears - total
parameter_id,JAX_OFD_021_001
