parameter_name,Calcium
gene_symbol,Etfdh
parameter_id,HMGULA_CBC_009_001
pvalue,0.2696075
gene_accession_id,MGI:106100
analysis_id,u8y759ep0w8e6a0
mouse_strain,C57BL
mouse_life_stage,Early adult
