gene_symbol,Ap5s1
parameter_name,Chloride
pvalue,0.887202
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
analysis_id,gr5279n3quc4x63
gene_accession_id,MGI:1916846
mouse_strain,C57BL
