analysis_id,79wq951nf5pqwh1
mouse_strain,C57BL
gene_symbol,Bach2
parameter_id,JAX_OFD_012_001
pvalue,0.6335551
mouse_life_stage,Early adult
parameter_name,Periphery permanence time
gene_accession_id,MGI:894679
