analysis_id,368d734o12z1776
mouse_life_stage,E9.5
parameter_id,IMPC_ACS_006_001
pvalue,0.7327693
gene_symbol,Hspa5
parameter_name,Response amplitude - S
mouse_strain,C57BL
gene_accession_id,MGI:95835
