analysis_id,xar6rbx3fd900e3
gene_accession_id,MGI:1336200
parameter_name,Tibia length
mouse_strain,C57BL
pvalue,0.06709694
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
parameter_id,TCPLA_XRY_033_001
